To retrieve the time series for the selected ground motions, follow the instructions below. 
 
Go to the following link: ngawest2.berkeley.edu 
 
Select "No Scaling" and click submit. Enter RSN values (separated by commas) provided below under "Record Characteristics", and click Search Records. Download time series at the bottom of the resulting page by clicking "Download Time Series Records". 
 
Record Number 	 Record Sequence Number 	 Scale Factor 	 File Name Dir. 1 	 File Name Dir. 2 	 URL 1 	 URL 2 
188 	 5260 	   1.88 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
189 	 3751 	   1.47 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
190 	 2618 	   0.90 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
191 	 292 	   0.69 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
192 	 1284 	   3.37 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
193 	 302 	   1.76 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
194 	 4846 	   2.90 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
195 	 1267 	   2.04 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
196 	 2744 	   2.18 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
197 	 964 	   3.89 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
198 	 326 	   2.52 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
199 	 3566 	   4.74 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
200 	 1110 	   1.37 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
